state,population,votes,color
Alabama,4780127,9,#e7298a
Arizona,6392307,11,#d95f02
Arkansas,2915958,6,#1b9e77
California,37252895,55,#e7298a
Colorado,5029324,9,#7570b3
Connecticut,3574118,7,#1b9e77
Delaware,897936,3,#e6ab02
District of Columbia,601767,3,#e7298a
Florida,18804623,29,#e6ab02
Georgia,9688681,16,#7570b3
Idaho,1567652,4,#7570b3
Illinois,12831549,20,#66a61e
Indiana,6484229,11,#7570b3
Iowa,3046869,6,#7570b3
Kansas,2853132,6,#d95f02
Kentucky,4339349,8,#e7298a
Louisiana,4533479,8,#d95f02
Maine,1328361,4,#1b9e77
Maryland,5773785,10,#1b9e77
Massachusetts,6547817,11,#e7298a
Michigan,9884129,16,#e6ab02
Minnesota,5303925,10,#66a61e
Mississippi,2968103,6,#66a61e
Missouri,5988927,10,#e6ab02
Montana,989417,3,#e6ab02
Nebraska,1826341,5,#1b9e77
Nevada,2700691,6,#66a61e
New Hampshire,1316466,4,#7570b3
New Jersey,8791936,14,#d95f02
New Mexico,2059192,5,#1b9e77
New York,19378087,29,#e6ab02
North Carolina,9535692,15,#1b9e77
North Dakota,672591,3,#d95f02
Ohio,11536725,18,#66a61e
Oklahoma,3751616,7,#e7298a
Oregon,3831073,7,#d95f02
Pennsylvania,12702887,20,#7570b3
Rhode Island,1052931,4,#d95f02
South Carolina,4625401,9,#d95f02
South Dakota,814191,3,#e7298a
Tennessee,6346275,11,#e6ab02
Texas,25146105,38,#e6ab02
Utah,2763888,6,#e7298a
Vermont,625745,3,#66a61e
Virginia,8001045,13,#d95f02
Washington,6724543,12,#1b9e77
West Virginia,1853011,5,#e6ab02
Wisconsin,5687289,10,#e7298a
Wyoming,563767,3,#66a61e
